carat,cut,color,clarity,depth,table,price,x,y,z,price_inr,volume,price_per_carat,dimension_ratio,carat_category,cluster
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,27710.0,38.20203,1417.391304347826,1.6316872427983538,Light,0
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,27710.0,34.505856,1552.3809523809525,1.6731601731601733,Light,0
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,27795.0,38.076885,1421.7391304347825,1.7575757575757578,Light,0
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,28390.0,46.72458,1151.7241379310346,1.602661596958175,Light,0
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,28475.0,51.917249999999996,1080.6451612903227,1.5799999999999998,Light,0
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,28560.0,38.693951999999996,1400.0,1.592741935483871,Light,0
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,28560.0,38.830870000000004,1400.0,1.6052631578947367,Light,0
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,28645.0,42.321081,1296.1538461538462,1.616600790513834,Light,0
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,28645.0,36.425214000000004,1531.8181818181818,1.536144578313253,Light,0
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,28730.0,38.718,1469.5652173913043,1.6841004184100419,Light,0
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,28815.0,49.6587,1130.0,1.5622710622710625,Light,0
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,28900.0,37.70442,1478.2608695652173,1.5914634146341464,Light,0
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,29070.0,34.715136,1554.5454545454545,1.6566523605150214,Light,0
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,29240.0,51.515744999999995,1109.6774193548388,1.6088560885608854,Light,0
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,29325.0,32.262375,1725.0,1.6607929515418502,Light,0
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,29325.0,51.883728000000005,1078.125,1.6417910447761195,Light,0
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,29580.0,50.130472,1160.0,1.6138059701492533,Light,0
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,29835.0,48.99609000000001,1170.0,1.5777777777777775,Light,0
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,29835.0,48.833658,1170.0,1.566420664206642,Light,0
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,29835.0,47.818022,1170.0,1.593984962406015,Light,0
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,29835.0,49.64177999999999,1170.0,1.5793357933579333,Light,0
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,29920.0,37.42816,1530.4347826086955,1.566532258064516,Light,0
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,30005.0,37.601784,1534.782608695652,1.6390041493775933,Light,0
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,30005.0,50.952974,1138.7096774193549,1.683206106870229,Light,0
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59,30005.0,51.403212,1138.7096774193549,1.7200772200772203,Light,0
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,30090.0,38.366477,1539.1304347826085,1.6556016597510372,Light,0
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47,30175.0,38.635246,1479.1666666666667,1.6012145748987854,Light,0
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67,30345.0,49.13868,1190.0,1.606741573033708,Light,0
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4,30345.0,37.73088,1552.1739130434783,1.6520833333333333,Light,0
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42,30345.0,38.236968000000005,1552.1739130434783,1.6425619834710745,Light,0
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41,34170.0,38.8492,1747.8260869565217,1.66597510373444,Light,0
